,ele_load,p_el,p_hp,p_eb,p_pv_hour,p_fc_hour,p_bs_hour,p_bs_ch_hour,p_bs_di_hour,g_ht,g_ht_ch,g_ht_di,g_hp,g_eb,g_fc_hour,g_demand,water_load,total_g_load,g_rh,h_fc_hour,h_el,h_hs,h_pur
105,2.335471152,74.28548327,276.1026563,54.25148686,367.2697368,0,429.6097698,166.257257,205.9626177,133.8803941,1180.268342,0,1214.851688,48.82633818,0,0,83.409684,83.409684,0,0,1.650788517,25.37059729,0
106,1.116301872,74.28548327,321.9488246,29.88696563,448.6842105,0,634.2101043,324.9584606,303.5118255,1196.121902,1403.605173,0,1416.574828,26.89826907,0,0,39.867924,39.867924,0,0,1.650788517,27.0213858,0
107,1.82875392,74.28548327,0,40.91013778,117.8399123,0,205.8561517,7.084142009,6.268604697,2459.366558,0,28.493516,0,36.819124,0,0,65.31264,65.31264,0,0,1.650788517,28.67217432,0
108,1.116301872,74.28548327,0,0,158.245614,0,343.3434447,516.0650889,433.22126,2427.707096,0,39.867924,0,0,0,0,39.867924,39.867924,0,0,1.650788517,30.32296284,0
109,0.60958464,74.28548327,0,57.77315419,206.7324561,0,708.8939857,513.8257805,439.7615465,2383.409402,0,0,0,51.99583877,0,0,21.77088,21.77088,30.22495877,0,1.650788517,31.97375136,0
110,0.91437696,74.28548327,0,0,83.58552632,0,979.2535717,11.62114581,3.235479725,2383.409402,0,32.65632,0,0,0,0,32.65632,32.65632,0,0,1.650788517,33.62453987,0
111,2.232603744,41.48434809,0,0,41.73245614,0,987.7482526,2.650831472,4.635327167,2347.124602,0,79.735848,0,0,0,0,79.735848,79.735848,0,0,0.921874402,35.27532839,0
112,1.116301872,13.29932849,0,0,13.26754386,0,965.7181554,3.285605872,4.433692374,2258.529216,0,39.867924,0,0,0,0,39.867924,39.867924,0,0,0.295540633,36.19720279,0
113,1.67635776,0,0,0,7.478070175,0,985.5497585,6.639891295,0.83817888,2214.231522,0,59.86992,0,0,0,0,59.86992,59.86992,0,0,0,36.49274343,0
114,0.659113392,0,0,0,0,0,988.3255219,0,0.659113392,2147.709389,0,23.539764,0,0,0,0,23.539764,23.539764,0,0,0,36.49274343,0
115,1.573490352,0,0,0,0,0,974.7061177,0,1.573490352,2121.554096,0,56.196084,0,0,0,0,56.196084,56.196084,0,0,0,36.49274343,0
116,2.89552704,0,0,0,0,0,947.1765535,0,2.89552704,2059.114002,0,103.41168,0,0,0,0,103.41168,103.41168,0,0,0,36.49274343,0
117,3.707036592,0,0,0,0,0,905.9032619,0,3.707036592,1944.212136,0,132.394164,0,0,0,0,132.394164,132.394164,0,0,0,36.49274343,0
118,1.878282672,0,0,0,0,0,869.6650593,0,1.878282672,1797.107509,0,67.081524,0,0,0,0,67.081524,67.081524,0,0,0,36.49274343,0
119,0.963905712,0,0,0,0,0,851.2331447,0,0.963905712,1722.572482,0,34.425204,0,0,0,0,34.425204,34.425204,0,0,0,36.49274343,0
120,32.10383314,0,0,0,0,0,658.7737033,0,32.10383314,1684.322256,0,354.0094536,0,0,0,0,21.9364,21.9364,332.0730536,0,0,36.49274343,0
121,41.81976,0,0,0,0,20.28686972,248.7484961,0,21.53289028,1290.978418,0,1142.374913,0,0,24.34424367,0,3.4236,3.4236,1163.295556,1.267929358,0,36.49274343,0
122,36.46351886,0,0,0,0,36.46351886,167.121494,0,0,21.67295956,0,0,0,0,43.75622263,0,1.6484,1.6484,42.10782263,2.278969929,0,35.22481407,0
123,20.28099086,0,0,0,0,20.28099086,167.121494,0,0,21.67295956,0,0,0,0,24.33718903,0,0,0,24.33718903,1.267561929,0,32.94584414,0
124,1.766413714,0,0,0,0,1.766413714,167.121494,0,0,21.67295956,0.471296457,0,0,0,2.119696457,0,1.6484,1.6484,0,0.110400857,0,31.67828221,0
125,0.381085714,0,0,0,3.618421053,0.095271429,173.3687331,3.332606767,0,22.09712637,0,3.309274286,0,0,0.114325714,0,3.4236,3.4236,0,0.005954464,0,31.56788135,0
126,9.428972571,54.25523795,0,0,79.00219298,8.691883796,202.9904914,108.8869411,84.87707488,18.42015494,0,16.57813944,0,0,10.43026056,0,27.0084,27.0084,0,0.543242737,1.205671955,31.56192689,0
127,38.55532114,74.28548327,0,146.5053081,268.004386,0,395.0177985,185.6905489,177.0322755,0,0,0,0,131.8547773,0,0,76.08,76.08,55.77477727,0,1.650788517,32.22435611,0
128,75.27969806,74.28548327,258.0994896,0,466.4144737,0,264.2027889,295.0292248,236.2794221,0,0,0,1135.637754,0,0,0,101.44,101.44,1034.197754,0,1.650788517,33.87514462,0
129,86.1596496,74.28548327,195.6402223,328.7756105,760.3508772,0,538.2127778,551.239556,475.7496446,0,0,0,860.8169782,295.8980495,0,0,77.7284,77.7284,1078.986628,0,1.650788517,35.52593314,0
130,96.60963223,74.28548327,321.9488246,341.9205464,789.6600877,0,615.599427,139.2679117,184.3723104,0,0,0,1416.574828,307.7284917,0,0,37.1524,37.1524,1687.15092,0,1.650788517,37.17672166,0
131,83.16531909,74.28548327,108.3398303,341.9205464,663.1359649,0,560.0423984,371.3810979,315.956312,0,246.074044,0,476.6952535,307.7284917,0,0,60.864,60.864,477.4857012,0,1.650788517,38.82751017,0
132,110.1507607,74.28548327,0,211.8963952,400.6798246,0,300.0431953,241.6647607,237.3175753,221.4666396,0,0,0,190.7067557,0,0,37.1524,37.1524,153.5543557,0,1.650788517,40.47829869,0
133,121.8479033,74.28548327,51.88482736,0,275.8442982,50.98487084,862.2890423,188.9588321,110.147877,221.4666396,269.1870854,0,228.2932404,0,61.181845,0,20.288,20.288,0,3.186554427,1.650788517,42.12908721,0
134,141.2765781,74.28548327,57.16531689,341.9205464,500.3070175,136.2531136,391.9820455,324.9584606,303.0462541,463.7350165,0,0,251.5273943,307.7284917,163.5037363,0,30.432,30.432,692.3276224,8.515819601,1.650788517,40.5933213,0
135,159.9969675,74.28548327,321.9488246,99.52751825,632.620614,0,870.7094209,245.8966323,269.0348119,463.7350165,1431.844795,0,1416.574828,89.57476642,0,0,74.3048,74.3048,0,0,1.650788517,33.72829022,0
136,148.2204027,74.28548327,0,0,245.3289474,0,303.655862,270.0121616,247.1891003,1752.395332,0,37.1524,0,0,0,0,37.1524,37.1524,0,0,1.650788517,35.37907873,0
137,148.4287296,13.04437398,0,0,250.0328947,0,625.7497282,337.5246643,248.9648732,1711.114887,0,55.792,0,0,0,0,55.792,55.792,0,0,0.289874977,37.02986725,0
